## Torsion are defined with the following atomIDs:
# dihed1: ai= 6428 aj= 6429 ak= 6430 al= 12551
# dihed2: ai= 6410 aj= 6409 ak= 6408 al= 6407
# dihed3: ai= 6427 aj= 6411 ak= 6412 al= 6413
# dihed4: ai= 6412 aj= 6413 ak= 6414 al= 6416
# dihed5: ai= 6413 aj= 6414 ak= 6416 al= 6417
# dihed6: ai= 6414 aj= 6416 ak= 6417 al= 6418
# dihed7: ai= 6416 aj= 6417 ak= 6418 al= 6419
# dihed8: ai= 6417 aj= 6418 ak= 6419 al= 12543
# dihed9: ai= 6419 aj= 6418 ak= 6420 al= 6421
# dihed10: ai= 6422 aj= 6423 ak= 6424 al= 12546
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10
225  -13.296 -113.620  -49.207 -165.573  177.719  -75.431  -64.194   30.994   91.161 -165.863
226   -2.513  -91.014   -9.476 -177.493 -172.658  -69.112  -36.619   85.250   19.603 -142.531
227  -11.098 -107.770  -11.598  171.693  171.716  -66.207  -64.759   32.743   57.157  175.415
228  -17.685  -86.721  -13.992 -161.586  176.017 -117.029  -64.982   53.418  113.995  -19.935
229    5.224 -109.937  -20.143  175.391 -170.835  -64.576  -50.433   81.339   39.565 -161.206
230  -10.290  -92.136   -7.576 -166.449 -172.837  -83.128  -53.467   42.303   54.412 -156.060
231  -21.019 -104.056  -22.798 -175.289 -172.254 -158.631  -68.572   57.457  119.731 -161.968
232    8.624 -112.170  -24.452  171.091 -173.747  -22.484  -52.211   40.610  -39.581 -152.002
233  -31.679  -85.041  -18.770  177.683  175.148 -121.706  -63.359   43.256  103.486 -138.113
234  -12.994  -92.579  -23.800  178.110  179.959  -71.410  -57.029   59.231   48.146  166.890
